Título,Desenvolvedor,Publicador,Exclusivo,Europa,Japão,América Do Norte,Brasil
Galak-Z: The Dimensional,17-BIT,17-BIT,Console,2014,2014,2014,2014
Get Even,The Farm 51,The Farm 51,Não,2015,2015,2015,2015
God Eater 2: Rage Burst,Namco Bandai,Namco Bandai,Sim,-,-,-,-
God of War III Remastered,SCE Santa Monica Studio,Sony Computer Entertainment,Sim,2015,2015,2015,2015
God of War,SCE Santa Monica Studio,Sony Interactive Entertainment,Sim,-,-,-,-
God of War Ragnarök,Santa Monica Studio,Sony Interactive Entertainment,Console,2022,2022,2022,2022
Gone Home,The Fullbright Company,Midnight City,Não,2014,-,2014,2014
Grand Theft Auto V,Rockstar North,Rockstar Games,Não,2014,2014,2014,2014
Gran Turismo 7,Polyphony Digital,Sony Computer Entertainment,Sim,-,-,-,-
Grave,Broken Window Studios,Broken Window Studios,Não,-,-,-,-
Grim Fandango,Double Fine Productions,Disney Interactive Studios,Não,-,-,-,-
Guacamelee! Super Turbo Championship Edition,DrinkBox Studios,DrinkBox Studios,Não,2014,2014,2014,2014
Guilty Gear Xrd,Arc System Works,JP Arc System WorksAN Aksys Games,Console,2014,2014,2014,2014
Guns of Icarus Online,Muse Games,Muse Games,Console,2014,2014,2014,2014
Gunsport,Necrosoft Games,Iron Galaxy Studios,Não,-,-,-,-
H-Hour: World's Elite,SOF Studios,SOF Studios,Console,2015,2015,2015,2015
Hand of Fate,Defiant Development,Defiant Development,Console,-,-,-,-
Heart Forth: Alicia,Alonso Martin,-,Console,-,-,-,-
Helldivers,Arrowhead Studios,Sony Computer Entertainment,Sony,2014,2014,2014,2014
Hellraid,Techland,Techland,Não,2015,2015,2015,2015
Hohokum,Honeyslug,Sony Computer Entertainment,Sony,2014,2014,2014,2014
Home,Benjamin Rivers,Benjamin Rivers,Console,2014,2014,2014,2014
Homefront: The Revolution,Crytek,Deep Silver,Não,2015,2015,2015,2015
Horizon: Zero Dawn,Guerilla Games,Sony Computer Entertainment,Sim,2017,2017,2017,2017
Hotline Miami,Dennaton Games,Devolver Digital,Console,2014,-,2014,2014
Hotline Miami 2: Wrong Number,Dennaton Games,Devolver Digital,Console,2014,-,2014,2014
Human Element,Robotoki,Robotoki,Não,2015,2015,2015,2015
HUNT: Horrors of the Gilded Age,Crytek USA,Crytek,Não,2014,2014,2014,2014
Hyperdimension Neptunia VII,Compile Heart,Compile Heart,Sim,-,-,-,-
Hyper Light Drifter,Heart Machine,Heart Machine,Não,2014,2014,2014,2014
Infamous: Second Son,Sucker Punch Productions,Sony Computer Entertainment,Sim,2014,2014,2014,2014
Infamous First Light,Sucker Punch Productions,Sony Computer Entertainment,Sim,2014,2014,2014,2014
Injustice: Gods Among Us Ultimate Edition,High Voltage Software,Warner Bros. Interactive Entertainment,Não,2013,2014,2013,2013
Ironclad Tactics,Zachtronics,Zachtronics,Console,2014,2014,2014,2014
The Jackbox Party Pack,Jackbox Games,Jackbox Games,Não,2015,-,2014,2015
The Jackbox Party Pack 2,Jackbox Games,Jackbox Games,Não,2015,-,2015,2015
The Jackbox Party Pack 3,Jackbox Games,Jackbox Games,Não,2016,-,2016,2016
The Jackbox Party Pack 4,Jackbox Games,Jackbox Games,Não,2017,-,2017,2017
The Jackbox Party Pack 5,Jackbox Games,Jackbox Games,Não,2018,-,2018,2018
The Jackbox Party Pack 6,Jackbox Games,Jackbox Games,Não,-,-,-,-
Jamestown Plus,Final Form Games,Final Form Games,Console,2014,2014,2014,2014
Joysound Dive 2,Xing Entertainment,Xing Entertainment,Sim,-,2014,-,-
Just Dance 2014,Ubisoft Milan,Ubisoft,Não,2013,2014,2013,2013
Just Dance 2015,Ubisoft Milan & Ubisoft Paris,Ubisoft,Não,2014,2014,2014,2014
Just Dance 2016,Ubisoft,Ubisoft,Não,2015,2015,2015,2015
Just Dance 2017,Ubisoft Montreal,Ubisoft,Não,2016,2016,2016,2016
Just Dance 2018,Ubisoft Paris,Ubisoft,Não,2017,2017,2017,2017
Just Dance 2019,Ubisoft Paris,Ubisoft,Não,2018,2018,2018,2018
Just Dance 2020,Ubisoft Paris,Ubisoft,Não,2019,2019,2019,2019
Kickbeat,Zen Studios,Zen Studios,Não,2014,2014,2014,2014
Killzone Shadow Fall,Guerrilla Games,Sony Computer Entertainment,Sim,2013,2014,2013,2013
King Oddball,10tons Ltd.,10tons Ltd.,Console,2014,-,2014,2014
Kingdom Come: Deliverance,Warhorse Studios,Warhorse Studios,Não,2015,-,2015,2015
Kingdom Hearts III,Square Enix,Square Enix,Não,-,-,-,-
Kingdom Under Fire II,Blueside,-,Console,-,-,2014,2014
Knack,SCE Japan Studio,Sony Computer Entertainment,Sim,2013,2014,2013,2013
Kodoku,Carnivore Studio,Carnivore Studio,Sony,2015,2015,2015,2015
Legend of Raven,Circle Edge,Nicalis,Não,-,-,2014,2014
Lego The Hobbit,TT Games,Warner Bros. Interactive Entertainment,Não,2014,-,2014,2014
Lego Marvel Super Heroes,TT Games,Warner Bros. Interactive Entertainment,Não,2013,2014,2013,2013
Liege,Coda Games,Coda Games,Não,2014,2014,2014,2014
Lily Bergamo,Grasshopper Manufacture,GungHo Online Entertainment,Sim,2014,2014,2014,2014
LittleBigPlanet 3,Sumo Digital,Sony Computer Entertainment,Sim,2014,2014,2014,2014
Lords of the Fallen,Deck13 Interactive,City Interactive,Não,2014,2014,2014,2014
Mad Max,Avalanche Studios,Warner Bros. Interactive,Não,2015,2015,2015,2015
Madden NFL 25,EA Tiburon,Electronic Arts,Não,2012,2014,2013,2013
Madden NFL 15,EA Tiburon,Electronic Arts,Não,-,-,-,-
Madden NFL 16,EA Tiburon,Electronic Arts,Não,-,2015,2015,2015
Madden NFL 17,EA Tiburon,Electronic Arts,Não,2016,2016,2016,2016
Madden NFL 18,EA Tiburon,Electronic Arts,Não,2017,2017,2017,2017
Madden NFL 19,EA Tiburon,Electronic Arts,Não,2018,2018,2018,2018
Madden NFL 20,EA Tiburon,Electronic Arts,Não,2019,2019,2019,2019
Magicka 2,Pieces Interactive,Paradox Interactive,Console,-,-,-,-
Marc Ecko's Getting Up 2,-,-,Não,-,-,-,-
Mário NX,Nintendo EZ,Ancmit,Console,2014,2014,2014,2014
Marvel vs. Capcom: Infinite,Capcom,Capcom,Não,2017,2017,2017,2017
Metal Gear Solid V: Ground Zeroes,Kojima Productions,Konami,Não,2014,2014,2014,2014
Metal Gear Solid V: The Phantom Pain,Kojima Productions,Konami,Não,2015,2015,2015,2015
Metro 2033 Redux,4A Games,Deep Silver,Não,2014,2014,2014,2014
Metro: Last Light Redux,4A Games,Deep Silver,Não,2014,2014,2014,2014
Terra-Média: Sombras de Mordor,Monolith Productions,Warner Bros. Interactive,Não,2014,2014,2014,2014
Mighty No. 9,Comcept / Inti Creates,-,Não,2014,2014,2014,2014
Minecraft,4J Studios,Mojang,Não,-,2014,2014,2014
Mirror's Edge 2,DICE,Electronic Arts,Não,-,-,-,-
MLB 14: The Show,SCE San Diego Studio,Sony Computer Entertainment,Sony,2014,2014,2014,2014
MLB 15: The Show,SCE San Diego Studio,Sony Computer Entertainment,Sony,2015,2015,2015,2015
MLB 16: The Show,SCE San Diego Studio,Sony Computer Entertainment,Sony,2016,2016,2016,2016
MLB 17: The Show,SCE San Diego Studio,Sony Computer Entertainment,Sony,2017,2017,2017,2017
MLB 18: The Show,SCE San Diego Studio,Sony Computer Entertainment,Sony,2018,2018,2018,2018
MLB 19: The Show,SCE San Diego Studio,Sony Computer Entertainment,Sony,2019,2019,2019,2019
Mobile Suit Gundam,Bandai Namco Games,Bandai Namco Games,Sim,-,-,-,-
Monochroma,Nowhere Studios,Nowhere Studios,Não,2014,-,2014,2014
Mortal Kombat X,NetherRealm Studios,Warner Bros. Interactive Entertainment,Não,2015,2015,2015,2015
MotoGP 14,Milestone S.r.l.,Milestone S.r.l.,Console,2014,2014,2014,2014
